abarty epeý
kanunlaştır kanunlaşdyr
kanunsuz kanunsyz
kanunsuzluk kanunsyzlyk
kap gap
kapak gapak
kapan gapan
kapasite sygym
kapayıcı gabsa
kapı derweze
kapı gapy
kapitalist kapitalist
kapla gapla
kaplan gaplaň
kaplumbağa pyşdyl
kaprisli ynjyk
kapsa gurşa
kapsam gurşaw
kapsamlı hemmetaraplaýyn
kaptan kapitan
kar bähbit
kar gar
karaciğer bagyr
karakter häsiýet
karakteristik harakteristika
karanfil dalçyn
karanlık garaňky
karanlık garaňkylyk
karar karar
karart garala
karavan kerwen
karbon uglerod
kardeşlik doganlyk
karga garga
kargaşa oňşuksyzluk
kargo ýük
karınca garynja
karışık garyşyk
karıştır çalşyr
karikatür karikatura
karlı düşewüntli
karma kompleksleýin
karmaşık çylşyrymly
karnaval karnawal
karpuz garpyz
karşı garşy
karşıla garşyla
karşılıklı özara
karşıt tersine
karşıtlık garşylyk
kartal bürgüt
karton karton
kartuş zarýadi
kasap gassap
kasaplık ölşük
kase şakäse
kasık gasyk
kasım noýabr
kasırga harasat
kasiyer kassir
kast synp
kasvetli tukat
kaş gaş
kaşif inwentor
katalog katalog
katedral ybadathana
kategori kategoria
katı doňak
katılaş şatla
katılımcı gatnaşyjy
katır gatyr
katil ganhor
katkı goşant
katliam gyrgynçylyk
katman gat
katran garaýag
kauçuk kauçuk
kavanoz banka
kavga uruş
kavgacı dawajyl
kavram düşünje
kavun gawun
kavur gowur
kaya gaýa
kayakçı lyzhaçy
kayalık daşlyk
kaybet ýitir
kaybol azaş
kaydedici magnitofon
kaygan taýgançak
kaygısız gaýgysyz
kayık gaýyk
kayıp ýitgi
kayısı erik
kayıt registrasiýa
kaylı gaýly
kaynak çeşme
kaynakçı kebşirleýli
kaz gaz
kaza awariýa
kazan gazan
kazan gazan
kazanç gazanç
kazı gazy
kazıcı ekskawator
keçi geçi
keder gam
kederlen tukatlan
kederli gynançly
kedi pişik
kehanet hadys
kek pirog
kekeme sakaw
keklik käkilik
kel kel
kelebek kebelek
kemik süňk
kemir gemir
kenar erňek
kenar gapdal
kendi öz
kendisi öz
kentsel kommunal
kepçe kepje
kepek goňak
kerpeten atagzy
kertenkele hažžuk
kes kes
kesici kater
kesin mälim
kesin ymykly
kesiş gabatlaş
kesiş kesiş
keskin kesgir
keskinleştir tapla
kıç göt
kıdemli ekabyr
kıllı tüýlek
kımıldat gymylda
kır çaş
kırgız gyryz
kırık döwük
kırılgan port
kırıntı owuntyk
kırk kyrk
kırkıncı kyrkynjy
kırmızı gyzyl
kısa kelte
kısaca gysgaça
kısalt gysgalt
kısım bölek
kısır gysyr
kıskanç gabanjaň
kıskanç gysyk
kısmi bölekleyin
kısrak baýtal
kış gyş
kıta materik
kıtasal kontinental
kıtlık gytlyk
kıvır sep
kıyım gyrgynçylyk
kıymet gadyr
kıymetli gadyrly
kız gyz
kızart gyzart
kızgın gaharly
kızkardeş uýa
kibar sypaýy
kibarca assa
kibarlık sypaýçylyk
kibir gedemlik
kibirli gompy
kibirli gopbamsy
kil laý
kil palçyk
kilise buthana
killi toýunsow
kilogram kilogram
kilometre kilometr
kimlik şahsyýet
kimya himiýa
kimyasal himiki
kin ýigrenç
kinci hyrsyz
kir kir
kiralık kireý
kiraz ülje
kireç hek
kirlet zaýala
kirli hapysa
kirli kirli
kirpi oklukirpi
kirpik kirpik
kişi kişi
kişilik  şahsyýet
kişisel şahsy
kitabe epigraf
kitaplık kitaphana
kitle köpçülik
klasik klassyky
klinik klinika
klüp klub
koca är
koç goç
kod şifr
koku ys
kokulu ysly
kolay aňsat
kolaylaştır aňsatlaşdyr
koleksiyon kolleksiýa
kolera mergi
kolik sanjy
kollaps lagşa
kolon sütün
koloni kolonoýa
kolonya odekolon
kolye monjuk
komedi komediýa
komik gülkünç
komite komissiýa
kompleks kompleks
komplo dildüwşük
komşu goňşy
komutan komandir
komutan komendant
komünist kommunist
komünizm kommunizm
konferans konferensiýa
konfor jaýlaşyk
konser konsert
konservatuar konserwatoriýa
konsolos konsul
konsolosluk konsullyk
konsültasyon konsultasiýa
konu tema
konuk myhman
konukseverlik myhmansöýerlik
konuş geple
konuşkan lakgy
konuşma çykyş
kop gop
kopar gopar
kopya kopýa
koridor koridor
korkak gorkak
korkaklık gorkaklyk
korku gorky
korkusuz gaýduwsyz
korkut gorkuz
koru gora
koruyucu goragçy
koşullu şertli
kov kow
kov kow
kova bedre
kovulma kowulma
koy goý
koy goý
koyu goýy
koyun goýun
koza goza
kök kök
kök kök
köken gözbaşy
kömür kömür
kömürleşmiş gazly
köprü köpri
körfez aýlag
körlük körlük
körük körük
köşe çüňk
kötü ýaman
kötü ýigrenji
kötülük erbetlik
köy oba
köylü  daýhan
kral şa
kravat galstuk
kristal hrustal
kritik tankydy
kriz krizis
kronik öwrendekli
kruvazör kreýser
kubbe gümmez
kucakla gujakla
kudret gudrat
kuğu güw
kullan ulan
kulübe çatma
kulüp klub
kum gum
kumaş mata
kumlu gumly
kupon talon
kur gur
kurak gurak
kuraklık gurulyk
kuram teoriýa
kurbağa gurbaga
kurnaz hilegär
kurnazlık hilegärlik
kurt böri
kurt gurt
kurtul gurtyl
kuru gury
kuruluk gurulyk
kurum edara
kurum gurum
kurut kakat
kus gus
kusur kine
kusursuz günäsiz
kuş guş
kuşak guşak
kuşat gurşaw
kuşatma gabaw
kuşkulu şübheli
kutla gutla
kutsal mukaddes
kutu gap
kutup polýak
kutupsal polýar
kuvvet kuwwat
kuvvetlendir berkit
kuvvetlendir gatalt
kuvvetli kuwwatly
kuyruk guýruk
kuyumcu zergär
kuzen çykan
kuzey demirgazyk
kuzeydoğu gaýra
kuzu guzy
küçük kiçi
kükürt kükürt
kültivatör kultiwator
kültür medeniýet
kültürel medeni
küme desse
küp kub
küre şar
kürek kürek
küresel togalak
kürk possun
kürsü kafedra
kütle massa
kütüphane kitaphana
laboratuar laboratoriýa
lahana kellem
laik dünýewi
lake lakla
lale çigildem
lam taý
lamba lampa
lanet nälet
layık rowa
lehçe şiwe
leş läş
levha çüýşe
lezzetli tagamly
liberal jomart
lider ýolbaşçy
liderlik ýolbaşçylyk
liste tablisa
lokma lokma
lütfen haýyş
lüzumsuz gereksiz
maalesef gynansamda
maaş aýlyk
madalya medal
madde madda
madde madda
madenci şahtaçy
mağara gowak
mağara süren
mağrur tekepbir
mağrurluk tekepbirlik
makas gaýçy
mal haryt
mal mal
malum mälim
mandalina mandarin
mandarin mandarin
mantar kömelek
mantıklı laýyk
mantıksız naýynsap
manzara peýzaž
marangoz gurluşykçy
mareşal marçal
marksist marksistik
marksizm marksizm
martı çarlak
masa parta
masaj massaž
masal erteki
maske maska
masraf çykdaýjy
masum bigünä
masumiyet bigünälik
maşa ätişgir
mat öçügsi
matematik matematika
matematiksel matematiki
materyal material
materyalist materialistik
materyalizm materializm
mavi gök
maya maýa
maymun maýmyn
mecbur mejbur
meclis mejlis
mekanik mahanika
mekanizasyon mehanizasiýa
mekanizma mehanizm
mektup hat
melek perişde
melez mitis
melodi mukam
meltem öwüsgin
meme emjek
memnuniyet razýlyk
memnuniyetlik hoşamaýlyk
memnuniyetsizlik nägilelik
memur ofiser
mendil elýaglyk
mental ruhy
menü menýu
meraklı bilesigeliji
meraklı ynjyk
merdane merdana
merdiven merdiwan
merhamet merhemet
merhametli geçirimli
merhametsiz rehimsiz
meridyen meridian
merkez merkez
merkezi  merkezi
mermi seçme
mert mert
mesafe menzil
mesaj maglumat
meslek hünär
meslek kär
meslektaş işdeş
meşale panys
meşgul meşgul
metal metal
metin tekst
metod metod
metre metr
metro ýerasty
mevcut bolan
meyve miwe
mezar mazar
mezarlık mazarçylyk
mezarlık öwülýä
mıknatıs magnit
mırıldan samra
mısır mekge
mısra kuplet
mide aşgazan
mikrofon mikrofon
mikrop mikrob
mikroskop mikroscop
miktar mukdar
mil mil
milimetre millimetr
milli milli
milyar milliard
milyon million
mimari arhitektura
mimarlık arhitektura
mimik öýkün
mineral mineral
minnettar minnetdar
miras miras
misafir myhman
misafirperver myhmansöýer
mobil mobil
mobilizasyon mobilizasiýa
mobilya mebel
molekül molekula
moleküler molekulýar
mongol mongol
monoton birhili
moral tap
motor motor
muayene derňew
muazzam mähnet
mucit inwentor
mucize gudrat
muhabir habarçy
muhalefet garşylyk
muhasebeci buhgalter
muhasebeci hasapçy
muhtaç mätäç
mum şem
musluk kran
muşamba kleýonka
mutfak kuhnýa
mutlu şat
mutluluk şatlyk
müdür direktor
müfettiş inspektor
mühendis injener
mühendislik injenerlik
mükemmel ajaýyp
mükemmellik kämillik
mülkiyet eýeçilik
mülteci gaçgak
mümkün mümkin
münasebetsiz ýerliksiz
mürekkep syýa
müslüman musulman
müşteri alajy
müşteri müçderi
mütevazi kiçigöwünli
müze muzeý
müzik saz
müzikal sazly
müzisyen sazanda
nadiren käwagt
nakış nagyş
nakit nagt
naklet gowşur
nakliye ýük
namus namys
narin näzik
nasır gabarçyk
naz näz
nazik sypaýy
nefes dem
negatif otrisatel
nehir derýa
nem çyg
nem çyglyk
neredeyse takmynan
nesil nesil
nesne predmet
nesnel obýektiw
neşe begenç
neşe şagalaň
neşeli bälçik
neşelilik meslik
neşeyle şüweleňli
nezaket mylakat
nezaket sypaýçylyk
nezaret ideg
nihayet ahyry
nikel nikel
ninni hüwdi
nişancı mergen
nişancılık mergenlik
nişasta krahmal
nitelik hil
nitrojen azot
niyet niýet
nokta nokat
noktalama punktuatsiýa
norm norma
normal normal
noter notarius
nöbet nobat
nötral bitarap
numune nusga
nüfus ilat
nükleer ýadro
o ol
obezite semizlik
objektif obýektiw
obur iýermen
ocak ojak
ocak ýanwar
oda otag
odun odun
ofis edara
oğul ogul
ok ok
oklava oklaw
oksijen kislorod
oku oka
okul okuw
okyanus okean
ol bol
olağanüstü fantastika
olası bolasy
olasılık mümkinçilik
olay hadysa
olay waka
olgu fakt
olgun ýetişgin
olgunluk ýetşenlik
olumlu oňaýly
olumlu polažhitel
olumsuz otrisatel
oluşum nyzam
omurga oňurga
omuz omuz
on on
onar oňar
onayla golda
ondört ondört
onlar olar
onur hormat
opera opera
operasyon operasiýa
orada hanha
orak orak
oran laýyklyk
orbita orbita
orbital orbital
ordu goşun
organ organ
organik organik
organizasyon gurama
organizma organizm
orijin gözbaşy
orjinal orginal
orkestra orkestr
orman jeňňel
orman tokaý
orta orta
ortak hyzmatdaş
ortak umumy
ortalama ortaçal
otel myhmanhana
otobüs awtobus
otomobil maşyn
otorite häkimiýet
otur otur
oturum sessiýa
otuz otuz
oval süýri
over naýça
oyalan eglen
oynak dyzmaç
oyuk çukur
oyuncak oýnawaç
oyuncu oýunçy
ödeme töleg
ödül sylag
ödün eglişik
öge element
öğren öwren
öğrenci okuwçy
öğrenci student
öğret öwret
öğretmen mugallym
öğüt ögüt
öl öl
ölçü ölçe
ölçüm ölçeýiş
ölüm ölüm
önce öň
önceki öňki
öncelik biriňilik
öncü ýolbaşçy
önderlik ýolbaşçylyk
önem ähmiýet
önlük fartuk
önsöz sözbaşy
ör ör
örgü örgi
örgüt gurama
örneğin meselem
örnek mysal
örnek nusga
örtü odeýal
örümcek kerep
öv öw
öz öz
özbek özbek
özdeş birmeňzeş
özel hususy
özellikle ylaýta
özet mazmun
özgün ähtibar
özgürlük azatlyk
özne ýönekme
özür ötünç
pahalı gymmat
pak päk
paket paket
palmiye palmiýa
palto palto
pamuk pagta
pancar şugundyr
panik panik
pankart plakat
pantolon balak
pantolon jalbar
papağan toty
para pul
paralel paralel
parça bölek
parla parla
parlak parlak
parlat ýagtyl
parola parol
parsiyel bölekleyin
parti partiýa
partizan partisan
partner hyzmatdaş
pasaj geçelge
pasaport pasport
pasif passiw
paslı posly
pasta tort
patates kartoçka
patent patent
patiska jir
patla partla
patlıcan badamjan
patron başlyk
pay paý
pazar bazar
pazar ýekşenbe
pazartesi duşenbe
peçete salfetka
pedal pedal
pehlivan pälwan
pekçok birsüri
pekiştir mäkämle
pekiştirme berkitme
pelerin ýapynja
pelikan gotan
pelinotu kekre
pembe gyrmyzy
pencere äpişge
pencere penjire
pense atagzy
perde perde
perde perde
periodik perýodik
periyot perýod
persistan erjel
perspektif perspektiv
perşembe penşenbe
pervane perwana
petrol nebit
peygamber pygamber
peynir peýnir
peyzaj peýzaž
pijama pijama
pil batareýa
piliç jüýje
piliç towuk
pilot pilot
pinti gysganç
pire büre
pirinç bürünç
pirzola kotlet
pis hapa
pislik tezek
pişir bişir
piyango lotereýa
piyanist pianist
piyano pianino
plan plan
plaster gips
platform platforma
polar polýar
polen tozga
poliklinik poliklinika
polis milisioner
polis milisiýa
polis polis
politik syýasy
politika syýasat
politikacı syýasatçy
popülasyon ilat
popüler populýar
porsuk torsuk
portekiz portugal
portre portret
postacı poçtalon
pozisyon pozitsiýa
primer ilkinjilik
problem problema
profesör professor
profesyonel professional
progresif progressiw
proje proýekt
protokol protokol
prova repetisiýa
provokasyon prowokatsiýa
pusula kompas
püskül gotaz
püskürt püsgürt
radius radius
radyo radio
raf polka
rahat rahat
raket raket
rakip garşydaş
randevu wezipe
rapor düzme
rastla duş
reaksiyon reaksiýa
reaktif reaktiw
reçete retsept
reçine şepbik
reddet dän
rejim rejim
rekabet bäsleşik
reklam reklama
rektör rektor
renkli reňkli
resim surat
resmi resmi
restoran restoran
rica haýyş
rijid doňan
risk risk
riyakar jögi
roket raketa
rol rol
roman roman
romanyalı rumyn
romatizma bilagyry
rotasyon aýlanma
rugbi regbi
ruh ruh
ruhani ruhy
rus rus
rusya orsýet
rutubet çyglyk
rüya düýş
rüzgar ýel
saat sagat
sabah irden
sabır sabyr
sabırsız çydamsyz
sabit durnukly
saç saç
saçak seçek
saçma bolgusyz
saçma kelpeň
saçma seçme
sadakat wepalylyk
sadakatsızlık biwepalyk
sadece diňe
sadık sadyk
saf päk
sağ sag
sağanak jala
sağır ker
sağla üpjünet
sağlam abat
sağlık saglyk
sahil kenar
sahil plýaž
sahip eýe
sahte biderek
sakal sakgal
sakatla maýypla
sakatlık maýyplyk
sakın asla
sakin asuda
sakinlikle mazaly
sakla sakla
saksağan alahekik
salata salat
salatalık hyýar
saldırgan söweşjen
saldırı tutnak
salı sişenbe
salın sallan
salın yrgyldat
salla salla
salon salon
salya tüýkülik
saman saman
samimi çynýürekden
samimiyet çynýürekdeşlik
sanal hyýally
sanat hünär
sanat sungat
sanatçı hünärment
sanatoryum sanatoriýa
sanayi industria
sandalye oturgyç
sandık sandyk
saniye sekunt
santimetre senitmeter
santral santral
saplan saplan
saptır sapdyr
saptır sow
sar dola
saray köşk
saray saraý
sargı sarag
sarı sary
sarımsak sarymsyk
sarımtırak saryýagyz
sarmaşık çyrmaşyk
sarsıntı sarsynty
sat sat
sat sat
saten setin
satıcı satyjy
satınalıcı alajy
satranç küşt
savaş söweş
savaş uruş
savaşçı söweşjeň
savun goran
say sana
saygıdeğer hormatly
sayı san
sayman hasapçy
sebze gök
seç seç
seçim saýlaw
seçkin tanymal
seçmen saýlawçy
sefer sapar
sekiz sekiz
seksen segsen
selam salam
selamla salamla
selofan sellofan
selüloz sellýuloza
sembol nyşan
sembol simbol
sement sement
seminer seminar
sempatik sempatik
sen sen
sentez sintez
sepet sebet
serbest erkin
serçe serçe
sergi sergi
seri sereýa
serinlik seleň
sermaye mülk
serp sep
serseri haramzada
sert gaty
servet baýlyk
ses ses
sesli çekimli
sessiz çekimiz
sevecen ýürekdeş
seven söýen
sevgi söýgi
sevgili eziz
sevgili söýgüli
sevimli eýjelik
sevimli mylakatly
sevin begen
sevinçli hoşwag
seyirci tomaşaçy
seyrek seýrek
sıcak gyzgyn
sıçan alaka
sıfat sypat
sıfır nol
sığ syg
sığır sygyr
sık gys
sıkıcı içgysgynç
sınav diktant
sınav ekzamen
sınıf klas
sınıf synp
sınır araçäk
sınırsız çäksiz
sıra setir
sırp serb
sırt syrt
sıska arryk
sıvı suwuk
sıyır syýyr
sızlan yzla
sigara çilim
sigorta strahowanie
sihirbaz jadygöý
sihirli jady
sil poz
sil süpür
silah ýarag
silgi pozguç
silindir rolik
silindir silindr
sincap belka
sinir nerwi
sinirlen gaharlan
sinüs sinus
sinyal signal
siper seňňer
sirk sirk
sis duman
sis ümür
sistem sistema
sistemli metodik
sisterna sisterna
sivilce düwürtik
sivrisinek çybyn
siyah gara
siyahlaştır garalt
siz siz
skandal goh
slav slawýan
soba peç
soğan sogan
soğuk soguk
soğur sogur
sok sok
solgun solgun
soluk dem
somurtkan çytyk
son soňky
sonbahar güýz
sonra soň
sonsuz ömürlik
sonuç netije
sonunda ahyry
sor sora
sorgulama sorag
sorumlu jogapkar
sorun problema
sosis kolbasa
sosyal sosial
sosyalizm sosialism
soy asylly
soy soý
soyad familiýa
soytarı masgarabaz
söğüt söwüt
sök sök
sömürge kolonoýa
söndür söndür
sönük sönen
söyle diý
söyle sarga
söz söz
sözdizim sintaksis
sözleşme şertnama
sözlük sözlük
spor sport
sporcu sportmen
sprey suwla
stabil durnukly
stabilite durnuklylyk
stadyum stadion
standart standart
stil stil
stres stres
su suw
suç günä
suçlu günäli
sunu çykyş
sunum çykyş
susam künji
sülük sülük
süngü naýza
sünnet sünnet
süpürge sübse
sürahi küýze
sürahi tüňçe
süre süre
süreç protses
sürekli dowamly
sürü süri
sürücü şofýor
sürün süýren
süs şaý
süsle keşdele
süsle nagyşla
süt süýt
sütun sütün
şahin laçyn
şahit şaýat
şair şahyr
şaka oýun
şakacı wäşi
şal gyňaç
şalgam şalgam
şamdan lýstra
şamfıstığı pisse
şampiyon çempion
şampiyona çempionat
şans bagt
şans şans
şapka telpek
şarap şerap
şarkı aýdym
şart şert
şaşırt çalşyr
şaşkınlık haýran
şef şef
şefkat rehim
şeftali şetdaly
şehir şäher
şehit şehit
şeker süýji
şeker şeker
şelale şaglawuk
şenlik meslik
şeref şöhrat
şerit lenta
şevk yhlas
şey zat
şeytan şeýtan
şiddet gyzgynlyk
şifre şifr
şiir goşgy
şikayet şikaýat
şilte düşekçe
şimdi häzir
şimdilik häzirlikçe
şimşek ýyldyrym
şirket kampaniýa
şiş çiş
şiş güberçek
şişe çüýşe
şişir çişir
şişman semiz
şive şiwe
şoför şofýor
şok şok
şöhret şan
şubat fewral
şüphe şübhe
tabaka plita
taban baza
tabanca pistolet
tabi elbetde
tablet tabletka
tablo tablisa
tabut tabyt
taç täç
takdir minnetdarlyk
taklit ýasama
taksi taksi
taktik taktika
takvim kalendar
talep talap
talihsizlik betbagtlyk
talimat gönüme
talimat tälim
tam takyk
tam tüm
tamam bolýar
tamamen bütinleý
tamamen düýbünden
tamamen tutuş
tamamen tutuşlagyna
tambur deprek
tanı tana
tanımla häsiýetlendir
tanımla kesgitle
tanıştır tanyşdyr
tank tank
tanrı hudaý
taraf tarap
tarafsız bitarap
tarafsızlık bitaraplyk
taraftar tarapdar
taraftar ýaran
tarım ekerançylyk
tarih taryh
tarihçi taryhçy
tarihsel taryhy
tartış jetleş
tartışma çekeleşik
tartışma dawa
tarz žanr
tarz usul
tas legen
tasarımcı konstuktor
tasma örk
taşı daşa
taşlı daşly
taşma çow
tatil kanikul
tatlı süýji
tatmin hoşal
tavır garaýyş
tavsiye maslahat
tavsiye sala
tavşan towşan
tavuk mäkiýan
tavuk towuk
tavus tawus
tay taý
tayfa taýpa
taze täze
tebeşir hek
tebrik mübärek
tecrübe tejribe
teçhizat enjam
tedavi bejergi
tedbirli ätiýaçly
tedirgin biynjalyk
tehlike howp
tek bitaý
tek ýeke
teker tigir
tekil aýra
teklif teklip
tekne gaýyk
teknik tehnika
teknik tehniki
tekrar gaýta
telaffuz aýdylyş
telafi öwez
telaş ynjalyksyz
televizyon telewizion
telgraf telegramma
tembel ýalta
tembellik ýaltalyk
temel düýpli
temiz arassa
temizle tämizle
temmuz iýul
temsilci wekil
teneke galaýy
tenis tennis
tente telär
teorem teorema
teori teoriýa
teorik teoretiki
tepe depe
tepkime reaksiýa
tepkimeli reaktiw
terbiye terbiýe
terbiye terbiýe
tereddüt gaýgy
tereyağı mesge
terim termin
terminal awtostansiýa
terminoloji terminologiýa
termometre termometr
termos termos
terör teror
terörism terrorizm
ters ters
ters ters
tesadüfen tötänleýin
tesadüfi tötänden
tesadüfi tötänleýin
tesir täsir
tesisat montaj
teşkil nyzam
teyze daýza
tez dissertatsiýa
tez tiz
tezgah stanok
tığ biz
tıp medisina
tırman dyrmaş
tırnak dyrnak
ticaret hünär
ticaret söwda
tiksindirici ýigrenji
tipik tipik
titiz çümhörek
titre saňňylda
titreşim titreşim
titreşme yrgyldy
titre titre
tiyatro teatr
tohum tohum
tohum tohum
tok dok
toka toka
tombul pökgi
ton äheň
ton tonna
top pökgi
top top
topal agsak
topçu topçy
topla topla
topla toplan
topla ýyg
toplam jemi
toplama ýygym
topluluk umumylyk
toplum jemgyýet
toplum umumylyk
toprak toprak
topuk ökje
torna tokar
toynak toýnak
toz poroşak
toz toz
tören dabara
törensel dabaraly
trafik gatnaw
trajedi tragediýa
trajik tragiki
traktör traktor
tramvay tramwaý
tuğla kerpiç
tunç bürünç
turist turist
turna durna
turnuva tunir
turp turp
turta gutap
tut tut
tutarlı yzygideri
tutarsız agzala
tutkal ýaran
tutku hyjuw
tutma kakyn
tutsak ýesir
tutum garaýyş
tutumsuz bisarpa
tutuşma tutaşma
tuvalet hajathana
tuz duz
tuzak duzak
tuzlu şor
tüccar söwdager
tüket tüket
tükürük tüýkülik
tül týul
tümce sözlem
türban selle
türbe gubur
türbin tribuna
türk türk
türkçe türkçe
türkiye türkiýe
türkmen türkmen
tütün temmäki
tüy tüý
ucuz arzan
uç uç
uçak samolýot
uçak uçar
uçuk uçuk
uçurum gaýa
uçuş uçuş
ufacık ujypsyz
ufala owran
uğraş hysyrda
uğraş oňar
ulaşım transport
ulusal milli
uluslararası halkara
umut umyt
un un
unut unut
usta ussa
utandır utandyr
utangaç utanjaň
utanmaz utançsyz
uy geliş
uyandır turuz
uyar duýdur
uyarı duýduryş
uyarla uýgunlaşdyr
uygun laýyk
uygun sazlaşyk
uygunsuz ýerliksiz
uykucu ukuçyl
uykusuz bimaza
uyruk millet
uyum kybap
uyumayan hüşgär
uyumsuzluk keçjelik
uyut ýatyr
uyuz ketje
uzak uzak
uzaklaştır uzaklaşdyr
uzantı goşmaça
uzantı uzynlyk
uzat süýndür
uzat uzalt
uzat uzat
uzlaş ylalaş
uzman spesalist
uzmanlık ekspertizia
uzun uzyn
uzunca süýri
uzunluk uzaklyk
uzuv çlen
ücret baha
üç üç
üçgen üçburçluk
üfle üfle
ülke ülke
ülke ýurt
ülser peşehorda
ün abraý
üniversal bütindünýa
üniversite uniwersitýet
ünlü şanly
ünlü şöhratly
üret öndür
üretim önüm
üretken öndüriji
üretkenlik öndürijilik
ürün önüm
üst üst
üst ýokarky
üstün üstün
üye agza
üye çlen
üzgün gamgyn
üzgün tukat
üzücü gaýgyly
üzüm üzüm
vaaz wagyz
vadi dere
vadi jülge
vagon wagon
vahşi wagşy
vahşi ýabany
var bar
varlık barlyk
varsay çakla
varsay öýt
vasıta arajy
vatan watan
vatandaş grajjdan
vatandaş ildeş
vatandaşlık raýat
vatansever watançy
ve we
vefasız biwepa
vekil deputat
vekil hossar
ver äber
ver ber
veranda eýwan
verimli hasylly
verimli önümli
verimlilik öndürijilik
veteriner weterinariýa
veya ýada
veznedar kassir
vicdan wyjdan
vicdanlı ynsaply
virgül otur
virus dümew
virüs wirus
vitamin witamin
voleybol woleýbol
votka arak
vurgula nygta
vücut beden
vücut endam
yabancı gelmişek
yabancı ýat
yağ ýag
yağlı ýagly
yağmur ýagyş
yağmurluk plaş
yakala gap
yakala tut
yakın ýakyn
yakın zeýren
yakınlık golaýlyk
yakışıklı owadan
yalan ýalan
yalın sada
yalınayak aýakýalaňaç
yalıtım izolýasion
yalıtkan izolýator
yalnız täk
yalnız ýeke
yalnız ýekemen
yalta ýalta
yalvar ýalwar
yan gapdal
yan ýan
yanak ýaňak
yanardağ wulkan
yanılt galplaşdyr
yanıtla seslen
yanlış nädogry
yanlış ýalňyş
yansıt ýaňsyt
yansız bitarap
yap et
yap ýap
yapay emeli
yapı desga
yapışık ýapyşyk
yapışkan şembeşik
yaprak ýaprak
yar ýar
yar ýar
yara ýara
yaramaz garagol
yarar ýarar
yararlı peýdaly
yarat döret
yaratıcı dörediji
yaratma döretme
yardım kömek
yardımcı kömekçi
yarı ýary
yarıçap radius
yarık ýaryk
yarıl ýaryl
yarım ýarpy
yarım ýarty
yarımada ýarymada
yarın ertir
yarış çapyş
yarış ýaryş
yarışma konkurs
yarma ýarma
yasa kanun
yasa konstitutsiýa
yasal kanuny
yasallaştır kanunlaşdyr
yasallık kanunlylyk
yaslan ýaplan
yaslan ýaslan
yassıla ýasyla
yastık ýassyk
yaşam durmuş
yaşlan garrylaş
yaşlılık garrylyk
yat ýat
yatak düşek
yatay kese
yatırım goýum
yatıştır ýatyşdyr
yavaş haýal
yavaş ýuwaş
yavaşlat haýallat
yavaşlık haýallyk
yay ýaý
yaygın ýaýgyn
yayılım bat
yayın çap
yayıncı neşirýatçy
yayınevi neşirýat
yayma çal
yaz tomus
yaz ýaz
yazar ýazyjy
yazgı ýazgyt
yazı ýazgy
yazıcı çapçy
yazmaç registrirle
ye iý
yedi ýedi
yemek nahar
yemin kasam
yen ýeň
yeni täze
yeniden täzeden
yenil ýeňil
yenile täzele
yenilik täzelik
yer ýer
yerel ýerli
yerine deregine
yerine ýerine
yerleş ornaş
yerleşim ýerleşim
yerleştir ýerleşdir
yerli ýerli
yeşil ýaşyl
yetenek talant
yetenek ukyp
yeterli bolelenlik
yeterli ýeterlik
yetim ýetim
yetiş ýetiş
yetkili häkimiýet
yetmiş ýetmiş
yığ ýyg
yığın desse
yık ýumur
yık ýyk
yıkım ýykym
yıl ýyl
yıldırım ýyldyrym
yıldız ýyldyz
yıllık ýyllyk
yırt ýyrt
yırtıcı wagşy
yiğit ýigit
yinele gaýtal
yirmi ýigrimi
yiyecek iýmit
yoğun goýy
yoğur ýogur
yoğurt süzme
yokluk ýokluk
yoksul garyp
yoksun mahrum
yol ýoda
yol ýol
yolcu ýolagçy
yonca ýorunja
yorgan ýorgan
yorgun ýadaw
yorul ýada
yön tarap
yönet dolandyr
yönetici dolandyryjy
yönetim dolandyryş
yönlendirme urukdyrma
yöntem metod
yörünge orbita
yörüngesel orbital
yumruk ýumruk
yumurta ýumurtga
yumuşak ýumşak
yumuşat ýumşat
yunanlı grek
yurt ýatakhana
yut owurtla
yuvala höwürtge
yuvarla togala
yuvarlak togalak
yük ýük
yükle ýükle
yükleyici ýükçi
yüksek belent
yüksel göger
yükselt galdyr
yün ýüň
yürüyüş ýöriş
yüz ýüz
yüzey keşbi
yüzeysel ýüzleý
yüzücü ýüzüji
yüzüstü ýüzin
yüzyıl asyr
zafer ýeňiş
zalim zabun
zalim zalym
zaman zaman
zamir çalyşma
zar perde
zarafet nepislik
zarar zelel
zarar zyýan
zarif nepis
zayıf ejiz
zayıf hor
zehir awy
zehir zäher
zeki akylly
zeki intelligent
zengin baý
zevk keýp
zevk sapa
zeytin zeýtin
zihinsel ruhy
zil jaň
ziraat sürüm
zooloji zoologiýa
zoolojik zoologik
zor kyn
zorla zorla
zorluk kynlyk
zorunlu hökmany
zorunlu mejbury
zulüm zulum
zürafa žiraf
